Coords, Spline 1, Spline 2, Spline 3, Spline 4, Spline 5, Spline 6, Spline 7, Spline 8, Spline 9, Spline 10
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.025126e-03, 9.212141e-01, 7.797783e-02, 8.080604e-04, 0, 0, 0, 0, 0, 0, 0, 
1.005025e-02, 8.456605e-01, 1.511073e-01, 3.232242e-03, 0, 0, 0, 0, 0, 0, 0, 
1.507538e-02, 7.733391e-01, 2.193884e-01, 7.272544e-03, 0, 0, 0, 0, 0, 0, 0, 
2.010050e-02, 7.042499e-01, 2.828211e-01, 1.292897e-02, 0, 0, 0, 0, 0, 0, 0, 
2.512563e-02, 6.383930e-01, 3.414055e-01, 2.020151e-02, 0, 0, 0, 0, 0, 0, 0, 
3.015075e-02, 5.757683e-01, 3.951415e-01, 2.909017e-02, 0, 0, 0, 0, 0, 0, 0, 
3.517588e-02, 5.163758e-01, 4.440292e-01, 3.959496e-02, 0, 0, 0, 0, 0, 0, 0, 
4.020101e-02, 4.602157e-01, 4.880685e-01, 5.171587e-02, 0, 0, 0, 0, 0, 0, 0, 
4.522613e-02, 4.072877e-01, 5.272594e-01, 6.545289e-02, 0, 0, 0, 0, 0, 0, 0, 
5.025126e-02, 3.575920e-01, 5.616020e-01, 8.080604e-02, 0, 0, 0, 0, 0, 0, 0, 
5.527638e-02, 3.111285e-01, 5.910962e-01, 9.777531e-02, 0, 0, 0, 0, 0, 0, 0, 
6.030151e-02, 2.678973e-01, 6.157420e-01, 1.163607e-01, 0, 0, 0, 0, 0, 0, 0, 
6.532663e-02, 2.278983e-01, 6.355395e-01, 1.365622e-01, 0, 0, 0, 0, 0, 0, 0, 
7.035176e-02, 1.911315e-01, 6.504886e-01, 1.583798e-01, 0, 0, 0, 0, 0, 0, 0, 
7.537688e-02, 1.575970e-01, 6.605894e-01, 1.818136e-01, 0, 0, 0, 0, 0, 0, 0, 
8.040201e-02, 1.272948e-01, 6.658418e-01, 2.068635e-01, 0, 0, 0, 0, 0, 0, 0, 
8.542714e-02, 1.002247e-01, 6.662458e-01, 2.335295e-01, 0, 0, 0, 0, 0, 0, 0, 
9.045226e-02, 7.638696e-02, 6.618015e-01, 2.618116e-01, 0, 0, 0, 0, 0, 0, 0, 
9.547739e-02, 5.578142e-02, 6.525088e-01, 2.917098e-01, 0, 0, 0, 0, 0, 0, 0, 
1.005025e-01, 3.840812e-02, 6.383677e-01, 3.232242e-01, 0, 0, 0, 0, 0, 0, 0, 
1.055276e-01, 2.426706e-02, 6.193783e-01, 3.563546e-01, 0, 0, 0, 0, 0, 0, 0, 
1.105528e-01, 1.335825e-02, 5.955405e-01, 3.911012e-01, 0, 0, 0, 0, 0, 0, 0, 
1.155779e-01, 5.681675e-03, 5.668544e-01, 4.274640e-01, 0, 0, 0, 0, 0, 0, 0, 
