Coords, Spline 1, Spline 2, Spline 3, Spline 4, Spline 5, Spline 6, Spline 7, Spline 8, Spline 9, Spline 10, Spline 11, Spline 12, Spline 13, Spline 14, Spline 15, Spline 16, Spline 17, Spline 18
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.012531e-03, 9.214075e-01, 7.778846e-02, 8.040151e-04, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.002506e-02, 8.460311e-01, 1.507528e-01, 3.216060e-03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.503759e-02, 7.738708e-01, 2.188931e-01, 7.236135e-03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.005013e-02, 7.049265e-01, 2.822093e-01, 1.286424e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.506266e-02, 6.391982e-01, 3.407014e-01, 2.010038e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.007519e-02, 5.766861e-01, 3.943694e-01, 2.894454e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.508772e-02, 5.173900e-01, 4.432133e-01, 3.939674e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.010025e-02, 4.613099e-01, 4.872331e-01, 5.145696e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.511278e-02, 4.084459e-01, 5.264289e-01, 6.512522e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.012531e-02, 3.587980e-01, 5.608005e-01, 8.040151e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.513784e-02, 3.123661e-01, 5.903481e-01, 9.728582e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.015038e-02, 2.691503e-01, 6.150715e-01, 1.157782e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.516291e-02, 2.291506e-01, 6.349709e-01, 1.358785e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.017544e-02, 1.923669e-01, 6.500462e-01, 1.575869e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.518797e-02, 1.587993e-01, 6.602974e-01, 1.809034e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
8.020050e-02, 1.284477e-01, 6.657245e-01, 2.058279e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
8.521303e-02, 1.013122e-01, 6.663275e-01, 2.323603e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
9.022556e-02, 7.739273e-02, 6.621064e-01, 2.605009e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
9.523810e-02, 5.668934e-02, 6.530612e-01, 2.902494e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.002506e-01, 3.920202e-02, 6.391920e-01, 3.216060e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.052632e-01, 2.493075e-02, 6.204986e-01, 3.545706e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.102757e-01, 1.387554e-02, 5.969812e-01, 3.891433e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.152882e-01, 6.036394e-03, 5.686396e-01, 4.253240e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.203008e-01, 1.413308e-03, 5.354740e-01, 4.631127e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.253133e-01, 0, 4.974969e-01, 5.025000e-01, 3.140684e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.303258e-01, 0, 4.583011e-01, 5.407912e-01, 9.076576e-04, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.353383e-01, 0, 4.207134e-01, 5.758664e-01, 3.420205e-03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.403509e-01, 0, 3.847338e-01, 6.077255e-01, 7.540782e-03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.453634e-01, 0, 3.503621e-01, 6.363685e-01, 1.326939e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.503759e-01, 0, 3.175985e-01, 6.617955e-01, 2.060603e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.553885e-01, 0, 2.864429e-01, 6.840064e-01, 2.955069e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.604010e-01, 0, 2.568954e-01, 7.030012e-01, 4.010339e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.654135e-01, 0, 2.289558e-01, 7.187800e-01, 5.226412e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.704261e-01, 0, 2.026244e-01, 7.313428e-01, 6.603288e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.754386e-01, 0, 1.779009e-01, 7.406894e-01, 8.140966e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.804511e-01, 0, 1.547855e-01, 7.468201e-01, 9.839448e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.854637e-01, 0, 1.332781e-01, 7.497346e-01, 1.169873e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.904762e-01, 0, 1.133787e-01, 7.494331e-01, 1.371882e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.954887e-01, 0, 9.508734e-02, 7.459155e-01, 1.589971e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.005013e-01, 0, 7.840403e-02, 7.391819e-01, 1.824141e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.055138e-01, 0, 6.332875e-02, 7.292322e-01, 2.074390e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.105263e-01, 0, 4.986150e-02, 7.160665e-01, 2.340720e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.155388e-01, 0, 3.800227e-02, 6.996847e-01, 2.623131e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.205514e-01, 0, 2.775108e-02, 6.800868e-01, 2.921621e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.255639e-01, 0, 1.910792e-02, 6.572729e-01, 3.236192e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.305764e-01, 0, 1.207279e-02, 6.312429e-01, 3.566843e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
