Coords, Spline 1, Spline 2, Spline 3, Spline 4, 
0, 1, 0, 0, 0, 
2.020202e-05, 9.600041e-01, 3.979186e-02, 2.040608e-04, 0, 
4.040404e-05, 9.208244e-01, 7.835935e-02, 8.162432e-04, 0, 
6.060606e-05, 8.824610e-01, 1.157025e-01, 1.836547e-03, 0, 
8.080808e-05, 8.449138e-01, 1.518212e-01, 3.264973e-03, 0, 
1.010101e-04, 8.081828e-01, 1.867156e-01, 5.101520e-03, 0, 
1.212121e-04, 7.722681e-01, 2.203857e-01, 7.346189e-03, 0, 
1.414141e-04, 7.371697e-01, 2.528313e-01, 9.998980e-03, 0, 
1.616162e-04, 7.028875e-01, 2.840526e-01, 1.305989e-02, 0, 
1.818182e-04, 6.694215e-01, 3.140496e-01, 1.652893e-02, 0, 
2.020202e-04, 6.367718e-01, 3.428222e-01, 2.040608e-02, 0, 
2.222222e-04, 6.049383e-01, 3.703704e-01, 2.469136e-02, 0, 
2.424242e-04, 5.739210e-01, 3.966942e-01, 2.938476e-02, 0, 
2.626263e-04, 5.437200e-01, 4.217937e-01, 3.448628e-02, 0, 
2.828283e-04, 5.143353e-01, 4.456688e-01, 3.999592e-02, 0, 
3.030303e-04, 4.857668e-01, 4.683196e-01, 4.591368e-02, 0, 
3.232323e-04, 4.580145e-01, 4.897459e-01, 5.223957e-02, 0, 
3.434343e-04, 4.310785e-01, 5.099480e-01, 5.897357e-02, 0, 
3.636364e-04, 4.049587e-01, 5.289256e-01, 6.611570e-02, 0, 
3.838384e-04, 3.796551e-01, 5.466789e-01, 7.366595e-02, 0, 
4.040404e-04, 3.551678e-01, 5.632078e-01, 8.162432e-02, 0, 
4.242424e-04, 3.314968e-01, 5.785124e-01, 8.999082e-02, 0, 
4.444444e-04, 3.086420e-01, 5.925926e-01, 9.876543e-02, 0, 
4.646465e-04, 2.866034e-01, 6.054484e-01, 1.079482e-01, 0, 
4.848485e-04, 2.653811e-01, 6.170799e-01, 1.175390e-01, 0, 
5.050505e-04, 2.449750e-01, 6.274870e-01, 1.275380e-01, 0, 
5.252525e-04, 2.253852e-01, 6.366697e-01, 1.379451e-01, 0, 
5.454545e-04, 2.066116e-01, 6.446281e-01, 1.487603e-01, 0, 
5.656566e-04, 1.886542e-01, 6.513621e-01, 1.599837e-01, 0, 
5.858586e-04, 1.715131e-01, 6.568717e-01, 1.716151e-01, 0, 
6.060606e-04, 1.551882e-01, 6.611570e-01, 1.836547e-01, 0, 
6.262626e-04, 1.396796e-01, 6.642179e-01, 1.961024e-01, 0, 
6.464646e-04, 1.249872e-01, 6.660545e-01, 2.089583e-01, 0, 
6.666667e-04, 1.111111e-01, 6.666667e-01, 2.222222e-01, 0, 
6.868687e-04, 9.805122e-02, 6.660545e-01, 2.358943e-01, 0, 
7.070707e-04, 8.580757e-02, 6.642179e-01, 2.499745e-01, 0, 
7.272727e-04, 7.438017e-02, 6.611570e-01, 2.644628e-01, 0, 
7.474747e-04, 6.376900e-02, 6.568717e-01, 2.793592e-01, 0, 
7.676768e-04, 5.397408e-02, 6.513621e-01, 2.946638e-01, 0, 
7.878788e-04, 4.499541e-02, 6.446281e-01, 3.103765e-01, 0, 
8.080808e-04, 3.683298e-02, 6.366697e-01, 3.264973e-01, 0, 
8.282828e-04, 2.948679e-02, 6.274870e-01, 3.430262e-01, 0, 
8.484848e-04, 2.295684e-02, 6.170799e-01, 3.599633e-01, 0, 
8.686869e-04, 1.724314e-02, 6.054484e-01, 3.773084e-01, 0, 
8.888889e-04, 1.234568e-02, 5.925926e-01, 3.950617e-01, 0, 
9.090909e-04, 8.264463e-03, 5.785124e-01, 4.132231e-01, 0, 
9.292929e-04, 4.999490e-03, 5.632078e-01, 4.317927e-01, 0, 
9.494949e-04, 2.550760e-03, 5.466789e-01, 4.507703e-01, 0, 
9.696970e-04, 9.182736e-04, 5.289256e-01, 4.701561e-01, 0, 
9.898990e-04, 1.020304e-04, 5.099480e-01, 4.899500e-01, 0, 
1.010101e-03, 0, 4.899500e-01, 5.099480e-01, 1.020304e-04, 
1.030303e-03, 0, 4.701561e-01, 5.289256e-01, 9.182736e-04, 
1.050505e-03, 0, 4.507703e-01, 5.466789e-01, 2.550760e-03, 
1.070707e-03, 0, 4.317927e-01, 5.632078e-01, 4.999490e-03, 
1.090909e-03, 0, 4.132231e-01, 5.785124e-01, 8.264463e-03, 
1.111111e-03, 0, 3.950617e-01, 5.925926e-01, 1.234568e-02, 
1.131313e-03, 0, 3.773084e-01, 6.054484e-01, 1.724314e-02, 
1.151515e-03, 0, 3.599633e-01, 6.170799e-01, 2.295684e-02, 
1.171717e-03, 0, 3.430262e-01, 6.274870e-01, 2.948679e-02, 
1.191919e-03, 0, 3.264973e-01, 6.366697e-01, 3.683298e-02, 
1.212121e-03, 0, 3.103765e-01, 6.446281e-01, 4.499541e-02, 
1.232323e-03, 0, 2.946638e-01, 6.513621e-01, 5.397408e-02, 
1.252525e-03, 0, 2.793592e-01, 6.568717e-01, 6.376900e-02, 
1.272727e-03, 0, 2.644628e-01, 6.611570e-01, 7.438017e-02, 
1.292929e-03, 0, 2.499745e-01, 6.642179e-01, 8.580757e-02, 
1.313131e-03, 0, 2.358943e-01, 6.660545e-01, 9.805122e-02, 
1.333333e-03, 0, 2.222222e-01, 6.666667e-01, 1.111111e-01, 
1.353535e-03, 0, 2.089583e-01, 6.660545e-01, 1.249872e-01, 
1.373737e-03, 0, 1.961024e-01, 6.642179e-01, 1.396796e-01, 
1.393939e-03, 0, 1.836547e-01, 6.611570e-01, 1.551882e-01, 
1.414141e-03, 0, 1.716151e-01, 6.568717e-01, 1.715131e-01, 
1.434343e-03, 0, 1.599837e-01, 6.513621e-01, 1.886542e-01, 
1.454545e-03, 0, 1.487603e-01, 6.446281e-01, 2.066116e-01, 
1.474747e-03, 0, 1.379451e-01, 6.366697e-01, 2.253852e-01, 
1.494949e-03, 0, 1.275380e-01, 6.274870e-01, 2.449750e-01, 
1.515152e-03, 0, 1.175390e-01, 6.170799e-01, 2.653811e-01, 
1.535354e-03, 0, 1.079482e-01, 6.054484e-01, 2.866034e-01, 
1.555556e-03, 0, 9.876543e-02, 5.925926e-01, 3.086420e-01, 
1.575758e-03, 0, 8.999082e-02, 5.785124e-01, 3.314968e-01, 
1.595960e-03, 0, 8.162432e-02, 5.632078e-01, 3.551678e-01, 
1.616162e-03, 0, 7.366595e-02, 5.466789e-01, 3.796551e-01, 
1.636364e-03, 0, 6.611570e-02, 5.289256e-01, 4.049587e-01, 
1.656566e-03, 0, 5.897357e-02, 5.099480e-01, 4.310785e-01, 
1.676768e-03, 0, 5.223957e-02, 4.897459e-01, 4.580145e-01, 
1.696970e-03, 0, 4.591368e-02, 4.683196e-01, 4.857668e-01, 
1.717172e-03, 0, 3.999592e-02, 4.456688e-01, 5.143353e-01, 
1.737374e-03, 0, 3.448628e-02, 4.217937e-01, 5.437200e-01, 
1.757576e-03, 0, 2.938476e-02, 3.966942e-01, 5.739210e-01, 
1.777778e-03, 0, 2.469136e-02, 3.703704e-01, 6.049383e-01, 
1.797980e-03, 0, 2.040608e-02, 3.428222e-01, 6.367718e-01, 
1.818182e-03, 0, 1.652893e-02, 3.140496e-01, 6.694215e-01, 
